"gene_name","GO_BP_Count","GO_MF_Count"
"ARGFX",1,3
"ARGLU1",2,4
"ARHGAP1",6,5
"ARHGAP10",4,2
"ARHGAP11A",3,1
"ARHGAP11B",5,2
"ARHGAP12",7,2
"ARHGAP15",4,2
"ARHGAP17",7,3
"ARHGAP18",6,2
"ARHGAP19",2,2
"ARHGAP20",3,1
"ARHGAP21",7,2
"ARHGAP22",6,2
"ARHGAP23",2,1
"ARHGAP24",6,2
"ARHGAP25",4,2
"ARHGAP26",5,4
"ARHGAP27",5,3
"ARHGAP28",4,1
"ARHGAP29",3,4
"ARHGAP30",2,2
"ARHGAP31",2,3
"ARHGAP32",2,3
"ARHGAP33",5,4
"ARHGAP35",22,5
"ARHGAP36",1,1
"ARHGAP39",3,1
"ARHGAP4",7,3
"ARHGAP40",3,1
"ARHGAP42",5,1
"ARHGAP44",13,4
"ARHGAP5",8,4
"ARHGAP5-AS1",1,2
"ARHGAP6",9,4
"ARHGAP8",4,2
"ARHGAP9",3,3
"ARHGDIA",6,3
"ARHGDIB",4,5
"ARHGDIG",4,3
"ARHGEF1",3,5
"ARHGEF10",7,3
"ARHGEF10L",4,2
"ARHGEF11",8,4
"ARHGEF12",3,4
"ARHGEF15",7,3
"ARHGEF16",4,6
"ARHGEF17",2,2
"ARHGEF18",6,3
"ARHGEF19",4,3
"ARHGEF2",22,5
"ARHGEF25",2,1
"ARHGEF26",3,1
"ARHGEF28",6,4
"ARHGEF3",3,2
"ARHGEF39",1,2
"ARHGEF4",4,3
"ARHGEF40",2,2
"ARHGEF5",13,4
"ARHGEF6",3,3
"ARHGEF7",13,4
"ARHGEF9",2,2
"ARID1A",15,5
"ARID1B",15,4
"ARID2",19,3
"ARID3A",2,5
"ARID3B",3,2
"ARID3C",2,3
"ARID4A",13,2
"ARID4B",12,4
"ARID5A",16,14
"ARID5B",23,4
"ARIH1",3,7
"ARIH2",9,5
"ARL1",6,7
"ARL11",3,3
"ARL13A",2,2
"ARL13B",10,3
"ARL14",2,3
"ARL15",1,4
"ARL17B",2,2
"ARL2",10,4
"ARL2BP",4,3
"ARL3",12,6
"ARL4A",3,3
"ARL4C",2,4
"ARL4D",3,3
"ARL5A",3,2
"ARL5B",3,3
"ARL5C",3,2
"ARL6",10,5
"ARL6IP1",8,2
"ARL6IP4",2,2
"ARL6IP5",15,2
"ARL8A",4,5
"ARL8B",17,7
"ARMC1",1,2
"ARMC10",3,3
"ARMC12",3,1
"ARMC2",4,1
"ARMC3",3,0
"ARMC5",8,1
"ARMC6",1,0
"ARMC7",2,1
"ARMC8",1,1
"ARMC9",2,1
"ARMCX1",1,1
"ARMCX3",4,1
"ARMS2",1,1
"ARNT",15,12
"ARNT2",8,8
"ARPC1A",2,2
"ARPC1B",3,3
"ARPC2",6,3
"ARPC3",5,3
"ARPC4",3,5
"ARPC5",4,3
"ARPC5L",4,3
"ARPP19",5,7
"ARPP21",1,4
"ARR3",3,4
"ARRB1",19,9
"ARRB2",31,9
"ARRDC1",6,5
"ARRDC2",1,1
"ARRDC3",10,2
"ARRDC4",6,2
"ARRDC5",1,0
"ARSA",1,5
"ARSB",10,3
"ARSG",7,3
"ART4",1,3
"ARTN",8,5
"ARV1",9,2
"ARVCF",4,2
"ARX",15,8
"AS3MT",3,1
"ASAH1",9,6
"ASAH2",11,3
"ASAH2B",1,1
"ASAP1",8,7
"ASAP2",1,3
"ASAP3",3,3
"ASB1",5,3
"ASB10",2,1
"ASB11",5,1
"ASB12",1,2
"ASB13",2,1
"ASB14",2,0
"ASB15",4,2
"ASB16",2,1
"ASB17",2,0
"ASB18",2,0
"ASB2",14,3
"ASB3",5,1
"ASB4",3,4
"ASB5",3,0
"ASB6",2,1
"ASB7",2,1
"ASB8",2,1
"ASB9",4,2
"ASCC1",3,2
"ASCC2",6,3
"ASCC3",5,5
"ASCL1",54,13
"ASCL2",16,9
"ASCL3",6,6
"ASCL4",2,4
"ASCL5",2,4
"ASF1A",7,4
"ASF1B",5,3
"ASGR1",2,7
"ASGR2",3,5
"ASH1L",17,10
"ASH2L",6,4
"ASIC1",16,4
"ASIC2",21,4
"ASIC3",11,5
"ASIC4",2,4
"ASIC5",2,2
"ASIP",10,5
"ASL",8,3
"ASMT",5,5
"ASMTL",3,6
"ASNS",6,3
"ASNSD1",6,2
"ASPA",4,6
"ASPDH",1,2
"ASPG",2,5
"ASPH",28,7
"ASPM",18,1
"ASPN",4,2
"ASPRV1",2,1
"ASPSCR1",4,1
"ASRGL1",2,2
"ASS1",30,7
"ASTE1",2,3
"ASTL",6,5
"ASTN1",3,1
"ASTN2",6,2
"ASXL1",16,7
"ASXL2",4,5
"ASXL3",3,4
"ASZ1",5,1
"ATAD1",6,3
"ATAD2",4,5
"ATAD2B",3,5
"ATAD3A",6,4
"ATAD3B",1,2
"ATAD3C",1,2
"ATAD5",12,5
"ATAT1",12,3
"ATCAY",5,2
"ATE1",4,2
"ATF1",8,8
"ATF2",46,21
"ATF3",12,12
"ATF4",45,18
"ATF5",15,10
"ATF6",13,12
"ATF6B",7,7
"ATF7",4,12
"ATF7IP",7,4
"ATF7IP2",2,1
"ATG10",8,3
"ATG12",11,3
"ATG13",9,4
"ATG14",22,5
"ATG16L1",13,5
"ATG16L2",4,0
"ATG2A",8,4
"ATG2B",7,4
"ATG3",10,6
"ATG4A",10,4
"ATG4B",13,6
"ATG4C",9,4
"ATG4D",11,4
"ATG5",46,2
"ATG7",18,4
"ATG9A",8,2
"ATG9B",8,2
"ATIC",12,4
"ATL1",4,4
"ATL2",4,4
"ATL3",4,4
"ATM",72,11
"ATMIN",7,6
"ATN1",13,4
"ATOH1",19,7
"ATOH7",11,7
"ATOH8",15,6
"ATOX1",3,6
"ATP10A",4,8
"ATP10B",2,7
"ATP10D",3,6
"ATP11A",5,8
"ATP11B",4,8
"ATP11C",3,8
"ATP12A",7,5
"ATP13A1",6,8
"ATP13A2",37,12
"ATP13A3",4,8
"ATP13A4",4,6
"ATP13A5",4,6
"ATP1A1",22,11
"ATP1A2",51,12
"ATP1A3",12,8
"ATP1A4",19,7
